연번,구군명,행정동,기관명,주소,연락처,full_addr,lon,lat,matched_query
41,금정구,구서2동,다함께돌봄센터 금빛아이꿈마당,"금정구 금강로 584, 4층(구서동, 구서2동 행정복지센터)",051-513-0089,"부산광역시 금정구 금강로 584, 4층(구서동, 구서2동 행정복지센터)",129.088035425399,35.2595502384829,"부산광역시 금정구 금강로 584, 4층(구서동, 구서2동 행정복지센터)"
42,금정구,금사회동동,다함께돌봄센터 금사아이꿈마당,"금정구 금사로85번길 2, 2층(금사동, 금사어울림센터)",051-710-4498,"부산광역시 금정구 금사로85번길 2, 2층(금사동, 금사어울림센터)",129.111306588011,35.2203940188595,"부산광역시 금정구 금사로85번길 2, 2층(금사동, 금사어울림센터)"
43,금정구,남산동,다함께돌봄센터 금샘아이꿈마당,"금정구 금강로 644-1, 3층(남산동)",051-517-4498,"부산광역시 금정구 금강로 644-1, 3층(남산동)",129.088815613406,35.2649563317431,"부산광역시 금정구 금강로 644-1, 3층(남산동)"
44,금정구,부곡3동,다함께돌봄센터 수림아이꿈마당,"금정구 수림로20번길 19, 2층(부곡동)",051-945-0089,"부산광역시 금정구 수림로20번길 19, 2층(부곡동)",129.090206737643,35.2405005713486,"부산광역시 금정구 수림로20번길 19, 2층(부곡동)"
45,금정구,장전2동,다함께돌봄센터 소정아이꿈마당,"금정구 소정로 19, 2층(장전동, 장전2동 행정복지센터)",051-519-4498,"부산광역시 금정구 소정로 19, 2층(장전동, 장전2동 행정복지센터)",129.080968603398,35.2277481767663,"부산광역시 금정구 소정로 19, 2층(장전동, 장전2동 행정복지센터)"
46,강서구,강동동,강서구 다함께돌봄센터 6호점,"강서구 에코대로 243(강동동,호반써밋스마트시티)",051-941-9666,"부산광역시 강서구 에코대로 243(강동동,호반써밋스마트시티)",128.907495574458,35.1397424250911,"부산광역시 강서구 에코대로 243(강동동,호반써밋스마트시티)"
47,강서구,강동동,강서구 다함께돌봄센터 7호점,"강서구 에코델타1로 42(강동동, e편한세상 에코델타 센터포인트)",051-710-2657,"부산광역시 강서구 에코델타1로 42(강동동, e편한세상 에코델타 센터포인트)",128.914411759665,35.1453818415594,"부산광역시 강서구 에코델타1로 42(강동동, e편한세상 에코델타 센터포인트)"
48,강서구,강동동,강서구 다함께돌봄센터 8호점,"강서구 에코델타1로 24(강동동, 강서자이 에코델타)",051-791-2657,"부산광역시 강서구 에코델타1로 24(강동동, 강서자이 에코델타)",128.914188933677,35.1432134027804,"부산광역시 강서구 에코델타1로 24(강동동, 강서자이 에코델타)"
49,강서구,강동동,강서구 다함께돌봄센터 9호점,"강서구 에코델타1로 66(강동동, 코델타시티 푸르지오센터파크)",051-831-0010,"부산광역시 강서구 에코델타1로 66(강동동, 코델타시티 푸르지오센터파크)",128.91469842294,35.1476705701951,"부산광역시 강서구 에코델타1로 66(강동동, 코델타시티 푸르지오센터파크)"
50,강서구,강동동,강서구 다함께돌봄센터 10호점,"강서구 에코델타3로 43(강동동, 에코델타시티 푸르지오린)",051-971-0917,"부산광역시 강서구 에코델타3로 43(강동동, 에코델타시티 푸르지오린)",128.920043691156,35.1428719245537,"부산광역시 강서구 에코델타3로 43(강동동, 에코델타시티 푸르지오린)"
51,강서구,강동동,강서구 다함께돌봄센터 11호점,"강서구 에코델타5로 60(강동동, 에코델타더베르힐)",051-973-1135,"부산광역시 강서구 에코델타5로 60(강동동, 에코델타더베르힐)",128.914609008233,35.148743228502,"부산광역시 강서구 에코델타5로 60(강동동, 에코델타더베르힐)"
52,강서구,명지1동,강서구 다함께돌봄센터 2호점,"강서구 명지국제5로 141(명지동,협성휴포레)",051-711-2657,"부산광역시 강서구 명지국제5로 141(명지동,협성휴포레)",128.921120157931,35.1075308265119,"부산광역시 강서구 명지국제5로 141(명지동,협성휴포레)"
53,강서구,명지1동,강서구 다함께돌봄센터 4호점,"강서구 명지국제2로 41(명지동,더샵퍼스트월드3단지)",051-204-8291,"부산광역시 강서구 명지국제2로 41(명지동,더샵퍼스트월드3단지)",128.906874174632,35.0947817266961,"부산광역시 강서구 명지국제2로 41(명지동,더샵퍼스트월드3단지)"
54,강서구,명지1동,강서구 다함께돌봄센터 5호점,"강서구 명지국제5로 60(명지동,에일린의뜰)",051-202-8004,"부산광역시 강서구 명지국제5로 60(명지동,에일린의뜰)",128.920892035046,35.1004557357605,"부산광역시 강서구 명지국제5로 60(명지동,에일린의뜰)"
55,강서구,녹산동,강서구 다함께돌봄센터 1호점,"강서구 과학산단2로20번길 69(지사동,금강펜테리움)",051-791-2533,"부산광역시 강서구 과학산단2로20번길 69(지사동,금강펜테리움)",128.838986989043,35.1508946511378,"부산광역시 강서구 과학산단2로20번길 69(지사동,금강펜테리움)"
56,강서구,녹산동,강서구 다함께돌봄센터 3호점,"강서구 과학산단2로20번길 91(지사동,삼성그린코아)",051-831-2657,"부산광역시 강서구 과학산단2로20번길 91(지사동,삼성그린코아)",128.839600768448,35.1518194278834,"부산광역시 강서구 과학산단2로20번길 91(지사동,삼성그린코아)"
57,연제구,거제2동,다함께돌봄센터 푸르지오꿈터,"연제구 아시아드대로22번길 36, 105동 2층(거제동, 아시아드푸르지오아파트)",051-507-3303,"부산광역시 연제구 아시아드대로22번길 36, 105동 2층(거제동, 아시아드푸르지오아파트)",129.070603199683,35.1873573235502,"부산광역시 연제구 아시아드대로22번길 36, 105동 2층(거제동, 아시아드푸르지오아파트)"
58,연제구,거제3동,연제구다함께돌봄센터 우리아이꿈터,연제구 거제시장로22번길 74(거제동),051-853-3002,부산광역시 연제구 거제시장로22번길 74(거제동),129.073098405249,35.1842003151509,부산광역시 연제구 거제시장로22번길 74(거제동)
59,연제구,거제4동,연제구다함께돌봄센터 해맞이아이꿈터,"연제구 화지로52번길 7, 2층(거제동, 해맞이둥지)",051-501-2657,"부산광역시 연제구 화지로52번길 7, 2층(거제동, 해맞이둥지)",129.064664664582,35.179805035751,"부산광역시 연제구 화지로52번길 7, 2층(거제동, 해맞이둥지)"
60,연제구,연산2동,다함께돌봄센터 행복한아이꿈터,"연제구 중앙대로1038번길 40, 204동 1층(연산동, 시청앞행복주택아파트)",051-866-1113,"부산광역시 연제구 중앙대로1038번길 40, 204동 1층(연산동, 시청앞행복주택아파트)",129.078446100303,35.179254189421,"부산광역시 연제구 중앙대로1038번길 40, 204동 1층(연산동, 시청앞행복주택아파트)"
61,연제구,연산3동,다함께돌봄센터 우리아이자람터,"연제구 봉수로17, 2층(연산동, 연산종합사회복지관)",051-711-7116,"부산광역시 연제구 봉수로17, 2층(연산동, 연산종합사회복지관)",129.088936040763,35.1727392607942,"부산광역시 연제구 봉수로17, 2층(연산동, 연산종합사회복지관)"
62,연제구,연산9동,연제구다함께돌봄센터아이사랑뜰꿈터,연제구 안연로8번길 71(연산동),051-714-6841,부산광역시 연제구 안연로8번길 71(연산동),129.104914372472,35.1885871884354,부산광역시 연제구 안연로8번길 71(연산동)
63,수영구,광안1동,엄지마을다함께돌봄센터,수영구 광서로16번길 22-1(광안동),051-752-2657,부산광역시 수영구 광서로16번길 22-1(광안동),129.113262289112,35.1651613665503,부산광역시 수영구 광서로16번길 22-1(광안동)
64,수영구,광안2동,어방골다함께돌봄센터,수영구 광안로35번길 5(광안동),051-751-3550,부산광역시 수영구 광안로35번길 5(광안동),129.116187162977,35.1558193314823,부산광역시 수영구 광안로35번길 5(광안동)
65,수영구,광안4동,홀트수영다함께돌봄센터,수영구 장대골로 20-5(광안동),051-760-3700,부산광역시 수영구 장대골로 20-5(광안동),129.111029179278,35.1593485994685,부산광역시 수영구 장대골로 20-5(광안동)
66,수영구,망미1동,배산다함께돌봄센터,수영구 과정로91번길 42(망미동),051-710-3117,부산광역시 수영구 과정로91번길 42(망미동),129.104729900642,35.1796484640923,부산광역시 수영구 과정로91번길 42(망미동)
67,수영구,민락동,백산마을다함께돌봄센터,수영구 민락본동로27번길 16(민락동),051-751-1020,부산광역시 수영구 민락본동로27번길 16(민락동),129.127704968125,35.1590066531243,부산광역시 수영구 민락본동로27번길 16(민락동)
68,사상구,덕포2동,늘품꿈터다함께돌봄센터,백양대로762번길 6-37(덕포동),051-303-0523,부산광역시 사상구 백양대로762번길 6-37(덕포동),128.989088645238,35.1735035518097,부산광역시 사상구 백양대로762번길 6-37(덕포동)
69,사상구,모라1동,더자람돌봄센터,"덕상로 129, 3층(모라동, 사상구청소년수련관)",051-711-7919,"부산광역시 사상구 덕상로 129, 3층(모라동, 사상구청소년수련관)",128.990560489725,35.1833170145427,"부산광역시 사상구 덕상로 129, 3층(모라동, 사상구청소년수련관)"
70,사상구,엄궁동,사상구 다함께돌봄센터,낙동대로776번길 37(엄궁동),051-316-2660,부산광역시 사상구 낙동대로776번길 37(엄궁동),128.973141774269,35.1290895817403,부산광역시 사상구 낙동대로776번길 37(엄궁동)
71,사상구,주례2동,주례동 다함께돌봄센터,"백양대로342번길 17, 206동 101호(주례동, 엘지신주례아파트)",051-327-2660,"부산광역시 사상구 백양대로342번길 17, 206동 101호(주례동, 엘지신주례아파트)",129.012849826569,35.1538797351637,"부산광역시 사상구 백양대로342번길 17, 206동 101호(주례동, 엘지신주례아파트)"
72,사상구,학장동,학장삼정그린코아 다함께돌봄센터,"학감대로123번길 67, 104동 1층(학장동, 학장삼정그린코아아파트)",051-325-8886,"부산광역시 사상구 학감대로123번길 67, 104동 1층(학장동, 학장삼정그린코아아파트)",128.985035282718,35.1409893910494,"부산광역시 사상구 학감대로123번길 67, 104동 1층(학장동, 학장삼정그린코아아파트)"
73,기장군,기장읍,기장군 다함께돌봄센터 3호점,"기장군 기장읍 차성로417번길 11, 2층(기장교육행복타운)",051-724-1189,"부산광역시 기장군 기장읍 차성로417번길 11, 2층(기장교육행복타운)",129.215526770437,35.2552222235619,"부산광역시 기장군 기장읍 차성로417번길 11, 2층(기장교육행복타운)"
74,기장군,일광읍,기장군 일광행복주택 다함께돌봄센터,"기장군 일광읍 해빛1로 61, 708동 1층",051-724-5567,"부산광역시 기장군 일광읍 해빛1로 61, 708동 1층",129.224005976511,35.2607952781356,"부산광역시 기장군 일광읍 해빛1로 61, 708동 1층"
75,기장군,정관읍,기장군 다함께돌봄센터 1호점,"기장군 정관읍 방곡5로 32-9, 1층",051-728-8591,"부산광역시 기장군 정관읍 방곡5로 32-9, 1층",129.187171515346,35.3233799786779,"부산광역시 기장군 정관읍 방곡5로 32-9, 1층"
76,기장군,정관읍,기장군 다함께돌봄센터 2호점,"기장군 정관읍 용수로 4, 2층(교육행복센터)",051-792-4988,"부산광역시 기장군 정관읍 용수로 4, 2층(교육행복센터)",129.18029172033,35.3255025191562,"부산광역시 기장군 정관읍 용수로 4, 2층(교육행복센터)"
