연번,구군명,법정동,행정동,기관명,주소,연락처,운영요일,휴무일,(학기)시작,(학기)종료,(방학)시작,(방학)종료,이용대상,이용요금,full_addr,lon,lat,match_type,matched_query
15,동구,수정동,수정2동,꿈나무수정지역아동센터,"동구 수정중로 32, 2층(수정동)",051-468-3035,월-금,"토, 일, 공휴일",10:00,20:00,9:00,19:00,"수급자, 차상위계층, 다문화, 장애인 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동구 수정중로 32, 2층(수정동)",129.045100297489,35.1309720355496,address_full,"부산광역시 동구 수정중로 32, 2층(수정동)"
16,동구,수정동,수정2동,부산진행복한홈스쿨지역아동센터,"동구 수정중로 7, 3층(수정동)",051-644-9544,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동구 수정중로 7, 3층(수정동)",129.043744751425,35.1292497077176,address_full,"부산광역시 동구 수정중로 7, 3층(수정동)"
17,동구,수정동,수정2동,어께동무수정지역아동센터,"동구 수정공원로 55, 상가 5호동 101호(수정동, 협성파크맨션)",051-711-2507,월-금,"토, 일, 공휴일",9:00,22:000,9:00,22:00,"수급자, 차상위계층, 다문화, 장애인 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 포함),"부산광역시 동구 수정공원로 55, 상가 5호동 101호(수정동, 협성파크맨션)",129.039123082264,35.1312113007104,address_full,"부산광역시 동구 수정공원로 55, 상가 5호동 101호(수정동, 협성파크맨션)"
18,동구,수정동,수정4동,한아름지역아동센터,동구 망양로 683(수정동),051-988-4151,월-금,"토, 일, 공휴일",10:00,22:00,9:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료(야간연장 돌봄서비스 포함, 2월부터 운영예정)",부산광역시 동구 망양로 683(수정동),129.040768540042,35.1267692142496,address_full,부산광역시 동구 망양로 683(수정동)
19,동구,좌천동,좌천동,해솔지역아동센터,"동구 망양로 854, 3층(좌천동)",051-635-5300,월-금,"토, 일, 공휴일",10:00,19:00,8:30,18:30,"수급자, 차상위계층, 다문화 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동구 망양로 854, 3층(좌천동)",129.047371167739,35.1367881147932,address_full,"부산광역시 동구 망양로 854, 3층(좌천동)"
20,동구,초량동,초량1동,대한지역아동센터,동구 영초길 188 1층(초량동),051-463-6736,월-토,"일, 공휴일",9:00,20:00,9:00,19:00,"수급자, 차상위계층, 다문화 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 동구 영초길 188 1층(초량동),129.035881763497,35.1169200719203,address_full,부산광역시 동구 영초길 188 1층(초량동)
21,동구,초량동,초량1동,우리동네지역아동센터,동구 초량상로 53(초량동),051-466-5543,월-금,"토, 일, 공휴일",10:00,20:00,9:00,18:00,"수급자, 차상위계층 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 동구 초량상로 53(초량동),129.036532550479,35.1170025870701,address_full,부산광역시 동구 초량상로 53(초량동)
22,동구,초량동,초량2동,엘림지역아동센터,동구 초량상로79번길 27-4(초량동),051-466-3880,월-금,"토, 일, 공휴일",10:00,22:00,10:00,22:00,"수급자, 차상위계층, 다문화 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 포함),부산광역시 동구 초량상로79번길 27-4(초량동),129.036802921179,35.1192982833068,address_full,부산광역시 동구 초량상로79번길 27-4(초량동)
23,동구,초량동,초량6동,모여라지역아동센터,"동구 구봉로 7-1, 2층(초량동)",051-462-6211,월-토,"일, 공휴일",9:00,20:00,8:30,19:00,"수급자, 차상위계층, 다문화 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동구 구봉로 7-1, 2층(초량동)",129.03788296029,35.1212628796937,address_full,"부산광역시 동구 구봉로 7-1, 2층(초량동)"
24,동구,초량동,초량6동,보광지역아동센터,"동구 구봉로 63, 5층(초량동)",051-467-7798,월-금,"토, 일, 공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동구 구봉로 63, 5층(초량동)",129.03556654608,35.1250201416121,address_full,"부산광역시 동구 구봉로 63, 5층(초량동)"
25,동구,초량동,초량6동,초량중앙지역아동센터,동구 구봉로59번길 18(초량동),051-468-3767,월-토,"일, 공휴일",9:00,24:00,9:00,24:00,"수급자, 차상위계층, 다문화 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원",부산광역시 동구 구봉로59번길 18(초량동),129.035069616543,35.1247537225415,address_full,부산광역시 동구 구봉로59번길 18(초량동)
26,영도구,동삼동,동삼1동,동삼동지역아동센터옹달샘,"영도구 동삼로 59번길 14, 2층(동삼동)",051-405-0713,월-토,"일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 영도구 동삼로 59번길 14, 2층(동삼동)",129.06963266248,35.0786289895765,address_full,"부산광역시 영도구 동삼로 59번길 14, 2층(동삼동)"
27,영도구,동삼동,동삼1동,와치지역아동센터,영도구 함지로79번길 76(동삼동),051-403-4200,월-금,"토, 일, 공휴일",10:30,20:00,10:30,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 영도구 함지로79번길 76(동삼동),129.065523726783,35.0759978094185,address_full,부산광역시 영도구 함지로79번길 76(동삼동)
28,영도구,동삼동,동삼1동,임마누엘지역아동센터,"영도구 태종로 704, 2층(동삼동)",051-554-8750,월-금,"토, 일, 공휴일",11:00,20:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 영도구 태종로 704, 2층(동삼동)",129.076570278507,35.0714094899699,address_full,"부산광역시 영도구 태종로 704, 2층(동삼동)"
29,영도구,동삼동,동삼2동,동삼지역아동센터,"영도구 태종로 797, 2층(동삼동)",051-403-5535,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 영도구 태종로 797, 2층(동삼동)",129.081315136768,35.0651645751102,address_full,"부산광역시 영도구 태종로 797, 2층(동삼동)"
30,영도구,동삼동,동삼3동,꿈꾸는상리지역아동센터,"영도구 상리로 33, 4층(동삼동)",070-7798-0867,월-금,"토, 일, 공휴일",11:00,21:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 영도구 상리로 33, 4층(동삼동)",129.067937389708,35.0846845883966,address_full,"부산광역시 영도구 상리로 33, 4층(동삼동)"
31,영도구,동삼동,동삼3동,영도행복한홈스쿨지역아동센터,"영도구 동삼북로 3, 임대상가 207호, 205호(동삼동, 주공아파트)",051-403-2787,월-금,"토, 일, 공휴일",10:30,19:30,10:30,19:30,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 영도구 동삼북로 3, 임대상가 207호, 205호(동삼동, 주공아파트)",129.069223119316,35.0830429741759,address_full,"부산광역시 영도구 동삼북로 3, 임대상가 207호, 205호(동삼동, 주공아파트)"
32,영도구,봉래동1가,봉래1동,영도중앙지역아동센터,"영도구 대교로 50, 3층(봉래동1가, 홀리조이센터)",070-7728-3759,월-금,"토, 일, 공휴일",10:00,21:00,10:00,21:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 영도구 대교로 50, 3층(봉래동1가, 홀리조이센터)",129.040108197896,35.0949412066879,address_full,"부산광역시 영도구 대교로 50, 3층(봉래동1가, 홀리조이센터)"
33,영도구,신선동2가,신선동,다정지역아동센터,영도구 도래샘길 80(신선동2가),051-417-6664,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 영도구 도래샘길 80(신선동2가),129.047472950397,35.0875937523474,address_full,부산광역시 영도구 도래샘길 80(신선동2가)
34,영도구,신선동2가,신선동,영도원광지역아동센터,영도구 남도여중길 28(신선동2가),070-7011-9549,월-금,"토, 일, 공휴일",11:00,0:00,11:00,0:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원",부산광역시 영도구 남도여중길 28(신선동2가),129.044508800514,35.0872107715122,address_full,부산광역시 영도구 남도여중길 28(신선동2가)
35,영도구,영선동4가,영선2동,바울지역아동센터,"영도구 해님2길 3, 3층(영선동4가, 바울교회)",010-3551-0501,월-토,"일, 공휴일",11:00,22:00,9:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 야간연장 이용 무료","부산광역시 영도구 해님2길 3, 3층(영선동4가, 바울교회)",129.041802461261,35.0844103889444,address_full,"부산광역시 영도구 해님2길 3, 3층(영선동4가, 바울교회)"
36,부산진구,가야동,가야2동,가야지역아동센터,부산진구 가야공원로38번길 74-9(가야동),051-898-0754,월-금,"토, 일, 공휴일",11:00,24:00,11:00,24:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원",부산광역시 부산진구 가야공원로38번길 74-9(가야동),129.025585233097,35.1503995880739,address_full,부산광역시 부산진구 가야공원로38번길 74-9(가야동)
37,부산진구,가야동,가야2동,예은지역아동센터,부산진구 가야공원로38번길 14-8(가야동),051-894-9991,임시휴업,"토, 일, 공휴일",-,-,-,-,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 가야공원로38번길 14-8(가야동),129.029317451086,35.1503002548861,address_full,부산광역시 부산진구 가야공원로38번길 14-8(가야동)
38,부산진구,가야동,가야2동,풀잎지역아동센터,부산진구 가야공원로63번길 33-5(가야동),051-892-5428,월-금,"토, 일, 공휴일",11:00,22:00,11:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 포함),부산광역시 부산진구 가야공원로63번길 33-5(가야동),129.030625819303,35.1488898053777,address_full,부산광역시 부산진구 가야공원로63번길 33-5(가야동)
39,부산진구,개금동,개금2동,은하수지역아동센터,부산진구 복지로 117-12(개금동),070-7546-4926,월-금,"토, 일, 공휴일",10:30,20:00,10:30,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 복지로 117-12(개금동),129.020163150976,35.1426112063758,address_full,부산광역시 부산진구 복지로 117-12(개금동)
40,부산진구,개금동,개금2동,푸른솔지역아동센터,부산진구 진사로61번길28-8(개금동),051-892-7833,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 진사로61번길28-8(개금동),129.017790138253,35.1456385048105,address_full,부산광역시 부산진구 진사로61번길28-8(개금동)
41,부산진구,개금동,개금3동,개금꿈나무지역아동센터,부산진구 백양관문로77번길 140(개금동),070-5151-6912,월-금,"토, 일, 공휴일",10:00,19:00,9:30,18:30,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 백양관문로77번길 140(개금동),129.024995003388,35.1641281314465,address_full,부산광역시 부산진구 백양관문로77번길 140(개금동)
42,부산진구,개금동,개금3동,사랑빛지역아동센터,부산진구 백양관문로77번길 99(개금동),051-893-2690,월-금,"토, 일, 공휴일",11:00,22:00,11:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 포함),부산광역시 부산진구 백양관문로77번길 99(개금동),129.025832384166,35.1625471750836,address_full,부산광역시 부산진구 백양관문로77번길 99(개금동)
43,부산진구,당감동,당감1동,당평비전지역아동센터,부산진구 백양대로136번길 37-9(당감동),051-892-9125,월-금,"토, 일, 공휴일",9:30,20::00,9:30,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 백양대로136번길 37-9(당감동),129.033211578238,35.1618734342875,address_full,부산광역시 부산진구 백양대로136번길 37-9(당감동)
44,부산진구,당감동,당감1동,성지지역아동센터,부산진구 동평로94번길 28(당감동),051-898-5000,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 동평로94번길 28(당감동),129.040188030036,35.1643188360238,address_full,부산광역시 부산진구 동평로94번길 28(당감동)
45,부산진구,당감동,당감2동,에이스지역아동센터,부산진구 가야대로703번나길 23(당감동),051-897-2633,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 가야대로703번나길 23(당감동),129.047246518556,35.1578244255999,address_full,부산광역시 부산진구 가야대로703번나길 23(당감동)
46,부산진구,당감동,당감4동,부산진지역아동센터,"부산진구 당감서로 72, 3층(당감동)",051-893-0160,월-금,"토, 일, 공휴일",10:00,22:00,10:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 부산진구 당감서로 72, 3층(당감동)",129.036976843996,35.1668796663962,address_full,"부산광역시 부산진구 당감서로 72, 3층(당감동)"
47,부산진구,범천동,범천2동,꿈꾸는지역아동센터,부산진구 신암로 51-5(범천동),051-644-0091,월-금,"토, 일, 공휴일",10:00,22:00,9:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원",부산광역시 부산진구 신암로 51-5(범천동),129.055304533751,35.1463477848849,address_full,부산광역시 부산진구 신암로 51-5(범천동)
48,부산진구,부암동,부암1동,해피지역아동센터,"부산진구 신천대로 279, 나동 111호(부암동, 럭키무지개타운)",051-809-8895,월-금,"토, 일, 공휴일",10:00,22:00,10:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 부산진구 신천대로 279, 나동 111호(부암동, 럭키무지개타운)",129.049997734339,35.1667839334845,address_full,"부산광역시 부산진구 신천대로 279, 나동 111호(부암동, 럭키무지개타운)"
49,부산진구,부암동,부암3동,신애지역아동센터,부산진구 백양순환로 127번길 8(부암동),051-817-8547,월-금,"토, 일, 공휴일",10;00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 백양순환로 127번길 8(부암동),129.041017535145,35.1695076415037,address_full,부산광역시 부산진구 백양순환로 127번길 8(부암동)
50,부산진구,부암동,부암3동,축복지역아동센터,부산진구 당감서로98번길 20-22(부암동),051-818-4252,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 당감서로98번길 20-22(부암동),129.036644286047,35.168704081997,address_full,부산광역시 부산진구 당감서로98번길 20-22(부암동)
51,부산진구,양정동,양정2동,평강지역아동센터,부산진구 중앙대로 978(양정동),051-861-3927,월-금,"토, 일, 공휴일",10:00,21:00,10:00,21:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 중앙대로 978(양정동),129.074396379245,35.1765613274956,address_full,부산광역시 부산진구 중앙대로 978(양정동)
52,부산진구,연지동,연지동,수지역아동센터,부산진구 성지로46번길 20-1(연지동),051-803-4964,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 성지로46번길 20-1(연지동),129.05545780454,35.1747630774983,address_full,부산광역시 부산진구 성지로46번길 20-1(연지동)
53,부산진구,전포동,전포1동,남부산지역아동센터,부산진구 진남로 300(전포동),051-806-2205,월-금,"토, 일, 공휴일",10:30,24:00,10:30,24:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원",부산광역시 부산진구 진남로 300(전포동),129.073221738239,35.1523328878183,address_full,부산광역시 부산진구 진남로 300(전포동)
54,부산진구,전포동,전포1동,행복한공부방지역아동센터,부산진구 전포대로190번길 19-1(전포동),051-818-7725,월-금,"토, 일, 공휴일",10:00,20:30,10:00,20:30,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 부산진구 전포대로190번길 19-1(전포동),129.066659693697,35.1537219856391,address_full,부산광역시 부산진구 전포대로190번길 19-1(전포동)
55,부산진구,전포동,전포2동,전포지역아동센터,"부산진구 진남로 356번길 90, 102동 205호(전포동, 화신아파트)",051-816-9055,월-금,"토, 일, 공휴일",11:00,22:00,11:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원","부산광역시 부산진구 진남로 356번길 90, 102동 205호(전포동, 화신아파트)",129.071817333646,35.1599703712554,address_full,"부산광역시 부산진구 진남로 356번길 90, 102동 205호(전포동, 화신아파트)"
56,부산진구,전포동,전포2동,한울타리지역아동센터,"부산진구 서전로57번길 29, 4층(전포동, 효명빌딩",051-805-6036,월-금,"토, 일, 공휴일",10:00,20:30,9:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 부산진구 서전로57번길 29, 4층(전포동, 효명빌딩",129.065970356832,35.1590780829152,address_full,"부산광역시 부산진구 서전로57번길 29, 4층(전포동, 효명빌딩"
57,동래구,낙민동,수민동,수안빛지역아동센터,"동래구 충렬대로 238번가길 49-5, 202호(낙민동, 아델리아)",070-8232-7221,월-금,"토, 일, 공휴일",11:00,0:00,11:00,0:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 포함),"부산광역시 동래구 충렬대로 238번가길 49-5, 202호(낙민동, 아델리아)",129.08722184052,35.1992312770993,address_full,"부산광역시 동래구 충렬대로 238번가길 49-5, 202호(낙민동, 아델리아)"
58,동래구,명륜동,명륜동,동래숲지역아동센터,"동래구 시실로 24번길 10, 4층(명륜동, 동양빌딩)",051-866-3329,월-금,"토, 일, 공휴일",11:30,21:00,11:30,21:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동래구 시실로 24번길 10, 4층(명륜동, 동양빌딩)",129.086012174538,35.2164884383443,address_full,"부산광역시 동래구 시실로 24번길 10, 4층(명륜동, 동양빌딩)"
59,동래구,명륜동,명륜동,명륜지역아동센터,"동래구 명륜로 210, 3층(명륜동, 승일빌딩)",051-553-8279,월-금,"토, 일, 공휴일",10:00,22:00,9:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 포함),"부산광역시 동래구 명륜로 210, 3층(명륜동, 승일빌딩)",129.083172089085,35.2124759665154,address_full,"부산광역시 동래구 명륜로 210, 3층(명륜동, 승일빌딩)"
60,동래구,명장동,명장1동,아이나라지역아동센터,동래구 명안로 71번길 5(명장동),051-527-9393,월-금,"토, 일, 공휴일",11:00,20:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 돌봄이필요한일반아동",None,부산광역시 동래구 명안로 71번길 5(명장동),129.103801075705,35.2029642735204,address_full,부산광역시 동래구 명안로 71번길 5(명장동)
61,동래구,명장동,명장2동,동래지역아동센터,"동래구 시실로107번길151, 3층(명장동, 동래종합사회복지관)",070-8897-8859,월-금,"토, 일, 공휴일",11:00,20:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동래구 시실로107번길151, 3층(명장동, 동래종합사회복지관)",129.098583769358,35.2112021283256,address_full,"부산광역시 동래구 시실로107번길151, 3층(명장동, 동래종합사회복지관)"
62,동래구,명장동,명장2동,오해피데이지역아동센터,"동래구 충렬사로67번길11, 301호(명장동, 영산무지개상가)",051-904-7959,월-금,"토, 일, 공휴일",10:00,22:00,10:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 동래구 충렬사로67번길11, 301호(명장동, 영산무지개상가)",129.098949955057,35.2048519657316,address_full,"부산광역시 동래구 충렬사로67번길11, 301호(명장동, 영산무지개상가)"
