들락날락명,운영시작시간,운영시작분,운영종료시간,운영종료분,연락처,주소,정기휴관일,위도,경도,데이터기준일
더나눔어린이작은도서관 들락날락,10,0,18,0,051-461-0622,"동구 영초윗길 48(초량동), 장기려기념관 1층","일요일, 월요일, 법정공휴일",35.1185602,129.0326709,2025-07-09
수남어린이작은도서관 들락날락,10,0,18,0,051-643-4254,"부산광역시 동구 충장대로289번길 17, 2층","일/월요일, 법정공휴일",35.1270056,129.0518458,2025-07-09
아동보호종합센터,9,0,18,0,"051-240-6328, 6326",부산광역시 서구 까치고개로 183,"일요일, 법정공휴일",35.1002134,129.0158772,2025-07-09
부산시청 들락날락,9,0,19,0,051-888-2046~7,부산시 연제구 중앙대로 1001(연산동) 부산시청 1층,법정공휴일,35.179949,129.0751049,2025-07-09
망미작은도서관 들락날락,9,0,18,0,"051-610-3982, 610-4219",부산광역시 수영구 연수로275번길 30(망미동),"매주 일,월요일 및 법정공휴일",35.1745359,129.1010882,2025-07-09
엄궁 통통 들락날락,9,0,18,0,051-711-3342,부산시 사상구 엄궁남로 20 (엄궁동),"일요일, 공휴일",35.125162,128.9701158,2025-07-09
부산해양자연사박물관 들락날락,9,30,17,30,051-553-4944,부산시 동래구 우장춘로 175(온천1동),"월요일(박물관휴관일) 설,추석 연휴",35.2219781,129.0756578,2025-07-09
전포어울더울작은도서관 들락날락,9,0,18,0,051-605-6271/070-8230-8221,"부산시 부산진구 서전로58번길 145(전포동), 전포어울더울복합문화센터 3층","일,월요일 및 법정공휴일",35.1513408,129.0664677,2025-07-09
만덕도서관 들락날락,9,0,18,0,051-309-2096,북구 은행나무로 26(만덕동),매주 월요일 및 법정공휴일,35.2072653,129.0378099,2025-07-09
시랑골 아이누리 작은도서관 들락날락,9,0,18,0,"051-341-4981, 051-309-6023",부산광역시 북구 시랑로185번길 47,"매주 월요일, 일요일, 법정공휴일 등",35.1970505,129.0154665,2025-07-09
사상어린이도서관 들락날락,9,0,20,0,051-310-7971~2,사상구 덕상로72번길 9,"매주 월요일, 법정공휴일",35.1781537,128.9898106,2025-07-09
연제구청 들락날락,9,0,18,0,051-665-4262,"연제구 연제로 2, 연제구청 1층",주말 및 법정공휴일,35.1762377,129.079752,2025-07-09
신호작은도서관 들락날락,10,0,18,0,051-970-2316,강서구 르노삼성대로 14(신호문화공원 본관 1층),"매주 월요일 및 법정공휴일, 기타 도서관장이 정하는 날",35.0886686,128.8725467,2025-07-09
우2동 어린이작은도서관 들락날락,9,0,18,0,051-749-6659,"해운대구 해운대로 383번가길 7, 우2동 행정복지센터 2층","일,월요일 및 법정공휴일",35.1712336,129.1399412,2025-07-09
강서도서관 들락날락,9,0,22,0,"051-970-3476,3479",강서구 공항로811번길 10(강서도서관 1층),"매주 월요일 및 법정공휴일, 기타 도서관장이 필요하다고 인정하는 날",35.1800416,128.957444,2025-07-09
해맞이 작은도서관 들락날락,10,0,20,0,"051-665-4516, 4518","연제구 해맞이로43번길 36(거제동) 2,3층","매주 월요일, 법정공휴일",35.1793917,129.0665845,2025-07-09
밤골작은도서관 들락날락,10,0,18,0,051-665-4513,연제구 금련로24번길 33(연산동),"월요일, 법정공휴일",35.1720373,129.094461,2025-07-09
안데르센 이야기관,9,0,18,0,051-792-4761,부산광역시 기장군 장안읍 장안로 211,"매주 월요일, 1월1일, 설날, 추석 등",35.3601459,129.239909,2025-07-09
부산진구 기적의도서관 들락날락,9,0,22,0,051-605-8751,부산광역시 부산진구 범양로125번길 19 (양정동),매주 월요일 및 법정공휴일,35.1740255,129.0647256,2025-07-09
오작교작은도서관 들락날락,10,0,18,0,051-220-5087,"사하구 낙동대로171번길 30-5, 괴정3동행정복지센터 2층","월요일, 법정공휴일 휴관",35.1003633,128.998106,2025-07-09
금정아이숲 들락날락 어린이복합문화공간,9,0,18,0,070-4115-7812~3,금정구 산성로 435,"일·월요일, 공휴일",35.2513241,129.0547748,2025-07-09
동매누리작은도서관 들락날락,10,0,20,0,051-900-4060,사하구 다대로130번길 112,"월, 법정공휴일",35.0930842,128.9759558,2025-07-09
장림무지개작은도서관 들락날락,10,0,20,0,051-265-0245,"사하구 장림로161번길 14, 2층","월, 법정공휴일",35.0833876,128.9670721,2025-07-09
구서2동어린이작은도서관,9,0,18,0,051-519-5742,"부산광역시 금정구 금강로 584, 4층(구서동)",주말 및 공휴일,35.2595586,129.0880634,2025-07-09
배산작은도서관 들락날락,10,0,20,0,051-665-4508,"연제구 배산북로 8(연산동), 1층","월요일, 법정공휴일",35.1751119,129.0933216,2025-07-09
사상구육아종합지원센터 들락날락,9,30,17,30,051-321-3389,사상구 낙동대로 1210번길 17,"매주 월요일, 법정공휴일",35.1680391,128.9779093,2025-07-09
고촌어울림도서관 들락날락,9,0,20,0,051-709-5382,기장군 철마면 고촌로 51,"매주 월요일, 법정공휴일",35.2387573,129.1687108,2025-07-09
동구 시민마당 들락날락 어린이 작은도서관,10,0,18,0,051-468-0910,동구 중앙대로 374,"월요일, 법정 공휴일",35.1284936,129.0491189,2025-07-09
동래구혁신어울림센터 내 들락날락,9,0,18,0,051-997-5001,동래구 금강로 129(온천동) 동래구혁신어울림센터,"매주 월요일, 법정 공휴일, 국가가 정한 임시 휴일, 기타 휴관일",35.2203167,129.0800519,2025-07-09
꿈나래작은도서관 들락날락,9,0,18,0,051-314-8948,"사상구 백양대로 527(주례동), 사상구종합사회복지관 2층","일요일, 공휴일",35.1554523,128.9947991,2025-07-09
정관도서관 들락날락,9,0,22,0,051-709-3916,정관중앙로 100 정관도서관 1층 어린이자료실,"신정(1월1일), 명절(설,추석)연휴, 매월 두번째 월요일",35.3252416,129.181518,2025-07-09
금정체육공원 들락날락,11,50,16,50,1577-0880,금정구 체육공원로399번길 324(두구동),"매주 월요일, 화요일",35.2891473,129.1070451,2025-07-09
바다Dream작은도서관 들락날락,9,0,18,0,051-624-1549,"남구 백운포로 110(국민체육센터2관, 2층)","국민체육센터 휴관일(매월 두번째 월요일, 네번째 화요일), 명절연휴(설, 추석)",35.1039062,129.1082116,2025-07-09
부산사회복지종합센터 내 들락날락,10,0,19,0,051-558-5632,"동래구 낙민로 25, 사회복지종합센터 1층","일요일, 월요일, 법정공휴일",35.1978036,129.0906649,2025-07-09
을숙도문화회관 들락날락,10,0,17,30,"051-220-5826, 051-294-0505",사하구 낙동남로1233번길 25,월요일 및 「관공서의 공휴일에 관한 규정」이 정하는 공휴일 ※일요일 및 어린이날 제외,35.1100587,128.9449674,2025-07-09
온빛 어린이 작은도서관 들락날락,9,0,18,0,051-550-6928,동래구 아시아드대로231번길 21(온천동),매주 월요일 및 공휴일,35.2049443,129.0662982,2025-07-09
만덕종합사회복지관 들락날락,10,0,17,0,070-8850-0270,"북구 함박봉로 140번길 102, 만덕종합사회복지관 4층 들락날락","일, 월요일 및 법정 공휴일 휴관",35.2018808,129.0354028,2025-07-09
천마니작은도서관 들락날락,9,0,18,0,051-241-6001,"서구 까치고개로197번길 46, 서구문화원 1층","매주 일요일,월요일 및 법정공휴일",35.1019959,129.0176097,2025-07-09
토곡어린이작은도서관 들락날락,9,0,18,0,051-665-5527,연제구 고분로241번길 26(연산동) 2층,일요일 및 법정공휴일,35.1857834,129.1087978,2025-07-09
부산근현대역사관 어린이체험실 들락날락,9,30,18,0,051-607-8004,"중구 대청로 112(구. 한국은행), 부산근현대역사관 본관 중2층","매주 월요일 휴관, (월요일이 공휴일인 경우 그 다음날)",35.1023719,129.0317975,2025-07-09
한형석 자유아동극장 들락날락,9,0,18,0,051-290-5681,서구 해돋이로 297,"일·월요일, 법정 공휴일(대체공휴일), 설·추석 연휴 ",35.1028574,129.0162054,2025-07-09
민락작은도서관 들락날락,9,0,18,0,051-610-6098,"수영구 광안해변로295번길 20, 민락동행정복지센터 2층","일요일,월요일 및 법정공휴일",35.1572868,129.1254432,2025-07-09
송정동 어린이작은도서관 들락날락,9,0,18,0,051-749-5895,"해운대구 송정중앙로21번길 20, 송정동행정복지센터 2층","일,월요일 및 법정공휴일",35.1836883,129.2037208,2025-07-09
반여도서관 들락날락,9,0,18,0,051-749-6081,해운대구 재반로282번길 38(반여동),"매주 월요일, 법정공휴일",35.2020523,129.1338216,2025-07-09
학마을작은도서관 들락날락,9,0,18,0,051-311-4017,"사상구 학감대로49번길 28-70, 학장종합사회복지관 2층",일요일 휴관,35.1386743,128.9897603,2025-07-09
부산진구어린이청소년도서관 들락날락,9,0,22,0,051-605-5801~3,"부산진구 백양순환로110번길 25, 부암3동행정복지센터 3~5층","법정공휴일, 매주월요일",35.169034,129.0396654,2025-07-09
노을이 아름다운 하단복합센터(하단도서관) 들락날락,9,0,18,0,051-220-0161~0165,사하구 하신번영로 245 노을이 아름다운 하단복합센터 ,"월요일, 법정공휴일",35.1031308,128.9577097,2025-07-09
수풀작은도서관 들락날락,10,0,20,0,051-265-4832,사하구 다대로271번길 25(장림2동),"월, 법정공휴일",35.0778278,128.9786794,2025-07-09
기장어린이도서관 들락날락,9,0,20,0,051-709-5321~3,기장군 기장읍 처성동로 126번길 13-5,매주 월요일 / 법정 공휴일,35.1908015,129.2188416,2025-07-09
국회부산도서관 들락날락,9,0,18,0,"051-608-8114(대표),8148","강서구 명지국제1로 161(명지동), 국회부산도서관 1층",매주 화요일 및 법정공휴일,35.1035378,128.9044139,2025-07-09
부산도서관 꿈뜨락 들락날락,9,0,20,0,051-310-5460~5462,"사상구 사상로 310번길 33(덕포동), 부산도서관 1층 꿈뜨락어린이실 ",월요일 및 법정공휴일,35.1727484,128.9853108,2025-07-09
금정 아이꿈자람 작은도서관 들락날락,10,0,19,0,051-519-5800,"금정구 금정로 29-6, 1층(장전동, 세대공감센터)","일,월요일 및 법정공휴일",35.2274949,129.0855176,2025-07-09
연제구 아이사랑뜰 들락날락,9,30,17,30,051-717-0380,연제구 안연로 8번길 71 연제구 아이사랑뜰,"일,월요일 및 법정공휴일",35.1886083,129.104919,2025-07-09
까치마을작은도서관 들락날락,10,0,20,0,051-202-0998,사하구 까치고개로 50-10 실버힐링센터 1층,"월, 법정공휴일",35.1045077,129.0063548,2025-07-09
구평예들 작은도서관 들락날락,10,0,20,0,051-261-5274,사하구 을숙도대로745번길,"월, 법정공휴일",35.0741391,128.9904292,2025-07-09
감천횃불작은도서관 들락날락,10,0,20,0,051-203-0543,사하구 감내1로175번길 50,"월, 법정공휴일",35.0964946,129.0091739,2025-07-09
한국신발관 들락날락,9,0,18,0,051-714-1533,부산진구 백양대로 227(3층),"매주 일~월요일, 법정공휴일",35.157326,129.0258107,2025-07-09
솔벗작은도서관 들락날락,10,0,20,0,051-665-4511,"연제구 아시아드대로 22번길 15, 2층","매주 월요일, 법정공휴일",35.1876667,129.0701419,2025-07-09
회화나무어린이작은도서관 들락날락,10,0,20,0,051-201-3096,사하구 사하로141번나길 11-1(괴정동),"매주 월요일, 법정공휴일",35.0940074,128.9916903,2025-07-09
그리며 들락날락,9,0,18,0,051-310-3068,사상구 강선로 31(덕포1동 행정복지센터 내),"일, 월요일 및 법정공휴일",35.1694156,128.9857676,2025-07-09
도모헌 들락날락 어린이도서관,10,0,18,0,051-888-8724,부산광역시 수영구 황령산로7번길 60(옛 부산시장관사) 도모헌 들락날락 어린이도서관,"월요일, 공휴일",35.1473705,129.1065559,2025-07-09
꽃마루어린이작은도서관 들락날락,9,0,18,0,051-240-6517,"서구 꽃마을로 58, 서대신4동 주민센터 1층",매주 월요일 및 법정공휴일,35.1192689,129.0117947,2025-07-09
노을나루길작은도서관 들락날락,10,0,18,0,051-220-5207,"사하구 하신번영로 377, 하단2동행정복지센터 2층",매주 월요일 및 법정 공휴일,35.1146112,128.9605396,2025-07-09
아랫서발작은도서관,9,0,18,0,051-419-5742,"부산광역시 영도구 동삼오션로 27, 동삼2동 행정복지센터 2층","주말(토, 일)",35.0684211,129.0830316,2025-07-09
금정도서관 들락날락,9,0,20,0,051-519-5612,부산광역시 금정구 금정도서관로 33(청룡동),매주 월요일,35.2746487,129.0968614,
일광도서관 들락날락,9,0,18,0,051-709-5441,부산광역시 기장군 일광읍 일역길 75-31,매주 월요일 · 정부 지정 공휴일 · 기타 도서관장이 인정한 날,35.2613158,129.232536,
대연꿈키우미작은도서관 들락날락,9,0,18,0,051-611-6113,"부산광역시 남구 수영로 235 (대연동, 캠코 청년생활관 2층)",주말 및 법정공휴일,35.13546816,129.0924168,
우암도서관 들락날락,9,0,22,0,051-607-6511부산광역시 남구 당산로 22 (우암동),부산광역시 남구 당산로 22 (우암동),"월요일, 법정공휴일",35.1255845,129.0779275,
남구도서관 들락날락,9,0,18,0,"051-607-6621,6622","남구 수영로 267번길 61(대연동, 남구도서관)","월요일, 법정공휴일",35.1379688,129.0947961,
동구어린이영어도서관 들락날락,9,0,18,0,051-440-6471~5,부산광역시 동구 수성로 21,"월요일, 법정공휴일",35.1346055,129.041901,
온빛어린이 작은도서관 들락날락,9,0,18,0,051-550-6928동래구 아시아드대로231번길 21(온천동),동래구 아시아드대로231번길 21(온천동),매주 월요일 및 공휴일,35.2049395,129.0662945,
부산진구당감도서관,9,0,22,0,051-605-8763,부산광역시 부산진구 가야대로703번나길 33,"월요일, 법정공휴일",35.1577895,129.046934,
부산글로벌빌리지 영어특화 들락날락,9,0,18,0,051-980-8600,부산진구 가야대로 734,"매주 일요일, 월요일, 법정공휴일",35.156842,129.0520642,
덕천도서관 들락날락,9,0,18,0,051-309-5581,부산광역시 북구 의성로47번길 45-2,매주 월요일 · 정부 지정 공휴일 · 그 밖에 기타사유로 구청장이 인정한 날,35.2168734,129.011281,
나르며 들락날락,9,0,18,0,051-310-3208,"부산광역시 사상구 학감대로 133번길 9 학장동 행정복지센터 2층 나르며, 들락날락","매주 일,월요일, 법정공휴일",35.1423403,128.9873945,
사상마루 들락날락,9,0,18,0,051-310-4168~9,"사상구 학감대로 242 (감전동) 사상구청 1층, 지하 1층","일요일, 월요일, 법정공휴일",35.1526107,128.9911898,
주례쌈지 들락날락,9,0,18,0,051-310-3345,부산광역시 사상구 냉정로 10(주례동) 주례3동 행정복지센터 2층,"매주 일, 월요일 및 공휴일 휴무",35.1473625,129.0014549,
당리작은도서관 들락날락,10,0,20,0,051-201-5930,부산광역시 사하구 승학로20번길 25,"매주 월요일, 법정공휴일",35.1061126,128.9721693,
사하소방서 안전체험장 들락날락,9,0,18,0,051-271-6835,"부산광역시 사하구 장평로 270, 사하소방서 안전체험장","매주 일요일, 월요일, 공휴일 및 법정대체공휴일",35.0900355,128.9734591,
서구아미드림도서관 들락날락,9,0,20,0,051-290-5720부산시 서구 까치고개로 80번길 10,부산시 서구 까치고개로 80번길 10,"매주 월요일, 공휴일, 기타 구청장이 지정한 임시 휴관일",35.1036458,129.009367,
연제만화도서관,9,0,20,0,051-665-5532~3,부산광역시 연제구 연수로 208번길 16,매주 월요일 · 정부 지정 공휴일 · 그 밖에 기타사유로 구청장이 인정한 날,35.1729668,129.0931192,
풀잎작은도서관,9,0,18,0,051-419-5550,"부산광역시 영도구 영선대로 65, 영선2동 행정복지센터 3층","토,일 및 공휴일",35.0870093,129.0412028,
국립해양박물관 어린이해양도서관 들락날락,9,0,17,30,051-309-1882,부산광역시 영도구 해양로301번길 45 국립해양박물관내 어린이해양도서관,"매주 월요일, 법정 공휴일 및 국가가 정한 임시 휴일, 기타 박물관장이 필요하다고 인정하는 날",35.0785962,129.0807343,
부산복합문화공간 새모 들락날락,10,0,20,0,051-519-3652,부산광역시 영도구 동삼동 1158번지 부산복합혁신센터,매주 월요일,35.0804138,129.075825,
고맙습니다.글마루작은도서관,10,0,20,0,051-469-8451,"부산광역시 중구 동영로 87-1, 영주터널 윗길(영주동)","매주 월요일,신정, 설 연휴, 추석 연휴",35.1127561,129.0316475,
반송종합사회복지관,9,30,17,30,070-5045-1675,부산광역시 해운대구 아랫반송로1번길 15(반송동),"매주 일요일, 월요일, 공휴일",35.2263889,129.1469444,
